num_joined,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5
5,0.111111,0.18,0.355556,0.24,0.155556,0.38,0.38,0.28,0.46,0.6,0.44,0.52,0.58,0.688889,0.688889,0.64,0.8,0.8,0.822222,0.84,0.822222,0.86,0.96,0.9,1,0.94,1,1,0.98,0.98,0.98
10,0.05,0.166667,0.155556,0.2375,0.22,0.2,0.32,0.425,0.411111,0.49,0.533333,0.52,0.733333,0.72,0.73,0.8,0.76,0.77,0.86,0.91,0.9875,0.975,0.933333,0.92,0.97,0.99,0.97,1,0.99,1,1
