sparse density: 0.3
num_joined,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5
5,0.111111,0.18,0.355556,0.24,0.155556,0.38,0.38,0.28,0.46,0.6,0.44,0.52,0.58,0.688889,0.688889,0.64,0.8,0.8,0.822222,0.84,0.822222,0.86,0.96,0.9,1,0.94,1,1,0.98,0.98,0.98
10,0.05,0.166667,0.155556,0.2375,0.22,0.2,0.32,0.425,0.411111,0.49,0.533333,0.52,0.733333,0.72,0.73,0.8,0.76,0.77,0.86,0.91,0.9875,0.975,0.933333,0.92,0.97,0.99,0.97,1,0.99,1,1
15,0.0222222,0.140741,0.075,0.214815,0.219048,0.241667,0.295238,0.348148,0.383333,0.407407,0.475,0.685714,0.508333,0.753333,0.725926,0.771429,0.906667,0.780952,0.933333,0.952381,0.983333,0.985185,0.990476,0.98,1,1,0.991667,0.992593,0.990476,1,1
20,0.157143,0.075,0.05,0.1,0.166667,0.12,0.32,0.525,0.38125,0.45,0.285714,0.508333,0.59,0.883333,0.9,0.85,0.75,0.925,1,1,1,1,1,0.9875,1,1,1,1,1,1,1
25,0.008,0.064,0.1,0.03,0.0666667,0.08,0.12,0.04
30
35
40
45
50
sparse density: 0.35
num_joined,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5
